Symbol,Date added
HUBB,2023-10-18
LULU,2023-10-18
VLTO,2023-10-02
ABNB,2023-09-18
BX,2023-09-18
KVUE,2023-08-25
PANW,2023-06-20
AXON,2023-05-04
FICO,2023-03-20
BG,2023-03-15
PODD,2023-03-15
GEHC,2023-01-04
STLD,2022-12-22
FSLR,2022-12-19
ACGL,2022-11-01
TRGP,2022-10-12
EQT,2022-10-03
PCG,2022-10-03
CSGP,2022-09-19
INVH,2022-09-19
KDP,2022-06-21
ON,2022-06-21
VICI,2022-06-08
WBD,2022-04-11
CPT,2022-04-04
MOH,2022-03-02
NDSN,2022-02-15
CEG,2022-02-02
FDS,2021-12-20
SEDG,2021-12-20
EPAM,2021-12-14
BRO,2021-09-20
CDAY,2021-09-20
MTCH,2021-09-20
TECH,2021-08-30
MRNA,2021-07-21
CRL,2021-05-14
PTC,2021-04-20
CZR,2021-03-22
GNRC,2021-03-22
NXPI,2021-03-22
MPWR,2021-02-12
TRMB,2021-01-21
ENPH,2021-01-07
TSLA,2020-12-21
POOL,2020-10-07
CTLT,2020-09-21
ETSY,2020-09-21
TER,2020-09-21
BIO,2020-06-22
TDY,2020-06-22
TYL,2020-06-22
WST,2020-05-22
DXCM,2020-05-12
DPZ,2020-05-12
CARR,2020-04-03
OTIS,2020-04-03
IR,2020-03-03
PAYC,2020-01-28
LYV,2019-12-23
STE,2019-12-23
ZBRA,2019-12-23
ODFL,2019-12-09
WRB,2019-12-05
NOW,2019-11-21
LVS,2019-10-03
NVR,2019-09-26
CDW,2019-09-23
IEX,2019-08-09
LDOS,2019-08-09
TMUS,2019-07-15
MKTX,2019-07-01
AMCR,2019-06-07
CTVA,2019-06-03
DD,2019-04-02
DOW,2019-04-01
WAB,2019-02-27
ATO,2019-02-15
TFX,2019-01-18
CE,2018-12-24
FANG,2018-12-03
LW,2018-12-03
JKHY,2018-11-13
KEYS,2018-11-06
FTNT,2018-10-11
ROL,2018-10-01
ANET,2018-08-28
CPRT,2018-07-02
FLT,2018-06-20
BR,2018-06-18
EVRG,2018-06-05
MSCI,2018-04-04
TTWO,2018-03-19
HII,2018-01-03
NCLH,2017-10-13
CDNS,2017-09-18
SBAC,2017-09-01
IQV,2017-08-29
AOS,2017-07-26
MGM,2017-07-26
PKG,2017-07-26
RMD,2017-07-26
BKR,2017-07-07
ALGN,2017-06-19
ANSS,2017-06-19
EG,2017-06-19
HLT,2017-06-19
IT,2017-04-05
ARE,2017-03-20
AMD,2017-03-20
RJF,2017-03-20
SNPS,2017-03-16
REG,2017-03-02
CBOE,2017-03-01
INCY,2017-02-28
IDXX,2017-01-05
MAA,2016-12-02
COO,2016-09-23
CHTR,2016-09-08
MTD,2016-09-06
ALB,2016-07-01
LNT,2016-07-01
FTV,2016-07-01
TDG,2016-06-03
AJG,2016-05-31
LKQ,2016-05-23
DLR,2016-05-18
ALK,2016-05-13
GPN,2016-04-25
ULTA,2016-04-18
CNC,2016-03-30
HOLX,2016-03-30
UDR,2016-03-07
AWK,2016-03-04
FRT,2016-02-01
CFG,2016-01-29
EXR,2016-01-19
WTW,2016-01-05
CHD,2015-12-29
ILMN,2015-11-19
SYF,2015-11-18
HPE,2015-11-02
VRSK,2015-10-08
FOX,2015-09-18
NWS,2015-09-18
UAL,2015-09-03
PYPL,2015-07-20
KHC,2015-07-06
JBHT,2015-07-01
QRVO,2015-06-11
O,2015-04-07
AAL,2015-03-23
EQIX,2015-03-20
HSIC,2015-03-17
SWKS,2015-03-12
HCA,2015-01-27
RCL,2014-12-05
URI,2014-09-20
UHS,2014-09-20
MLM,2014-07-02
AVGO,2014-05-08
GOOGL,2014-04-03
ESS,2014-04-02
TSCO,2014-01-24
META,2013-12-23
MHK,2013-12-23
ALLE,2013-12-02
AME,2013-09-23
VRTX,2013-09-23
DAL,2013-09-11
NWSA,2013-08-01
FOXA,2013-07-01
ZTS,2013-06-21
GM,2013-06-06
REGN,2013-05-01
ABBV,2012-12-31
APTV,2012-12-24
GRMN,2012-12-12
DG,2012-12-03
MDLZ,2012-10-02
PNR,2012-10-01
LYB,2012-09-05
STX,2012-07-02
LRCX,2012-06-29
MNST,2012-06-28
KMI,2012-05-25
PSX,2012-05-01
CCI,2012-03-14
BWA,2011-12-19
DLTR,2011-12-19
XYL,2011-11-01
TEL,2011-10-17
MOS,2011-09-26
ACN,2011-07-06
MPC,2011-07-01
CMG,2011-04-28
BLK,2011-04-04
EW,2011-04-01
FFIV,2010-12-20
NFLX,2010-12-20
TT,2010-11-17
JCI,2010-08-27
CB,2010-07-15
KMX,2010-06-28
OKE,2010-03-15
BRK-B,2010-02-16
NRG,2010-01-29
ROP,2009-12-23
ROST,2009-12-21
V,2009-12-21
BKNG,2009-11-06
FMC,2009-08-19
PWR,2009-07-01
WDC,2009-07-01
ORLY,2009-03-27
HRL,2009-03-04
VTR,2009-03-04
WELL,2009-01-30
IRM,2009-01-06
ES,2009
RSG,2008-12-05
XRAY,2008-11-14
WYNN,2008-11-14
SJM,2008-11-06
WEC,2008-10-31
NDAQ,2008-10-22
APH,2008-09-30
PXD,2008-09-24
LHX,2008-09-22
FAST,2008-09-15
CRM,2008-09-15
CF,2008-08-27
IVZ,2008-08-21
DVA,2008-07-31
MA,2008-07-18
CTRA,2008-06-23
ISRG,2008-06-02
PEAK,2008-03-31
PM,2008-03-31
AMT,2007-11-19
J,2007-10-26
EXPD,2007-10-10
EXPE,2007-10-02
ICE,2007-09-26
MCHP,2007-09-07
AKAM,2007-07-12
DFS,2007-07-02
AIZ,2007-04-10
HST,2007-03-20
CHRW,2007-03-02
RL,2007-02-02
AVB,2007-01-10
CTSH,2006-11-17
CBRE,2006-11-10
FIS,2006-11-10
CME,2006-08-11
JNPR,2006-06-02
KIM,2006-04-04
GOOG,2006-04-03
BXP,2006-04-03
VRSN,2006-02-01
EL,2006-01-05
AMZN,2005-11-18
LEN,2005-10-04
AMP,2005-10-03
PSA,2005-08-19
TSN,2005-08-10
STZ,2005-07-01
DHI,2005-06-22
LH,2004-11-01
TPR,2004-09-01
TMO,2004-08-03
GILD,2004-07-01
VTRS,2004-04-23
MTB,2004-02-23
BIIB,2003-11-13
PLD,2003-07-17
GEN,2003-03-25
MKC,2003-03-20
STT,2003-03-14
VLO,2002-12-20
DGX,2002-12-12
CMCSA,2002-11-19
TRV,2002-08-21
ELV,2002-07-25
EBAY,2002-07-22
EA,2002-07-22
GS,2002-07-22
PFG,2002-07-22
PRU,2002-07-22
UPS,2002-07-22
SPG,2002-06-26
WAT,2002-01-02
EQR,2001-12-03
NVDA,2001-11-30
PPL,2001-10-01
COR,2001-08-30
ZBH,2001-08-07
ZION,2001-06-22
FI,2001-04-02
CTAS,2001-03-01
SRE,2001?
SYK,2000-12-12
MET,2000-12-11
INTU,2000-12-05
RHI,2000-12-05
EOG,2000-11-02
NI,2000-11-02
DVN,2000-08-30
SBUX,2000-06-07
A,2000-06-05
ADI,1999-10-12
PNW,1999-10-04
QCOM,1999-07-22
VMC,1999-06-30
BBY,1999-06-29
NTAP,1999-06-25
AFL,1999-05-28
MCK,1999-01-13
CCL,1998-12-22
DHR,1998-11-18
AES,1998-10-02
PAYX,1998-10-01
RF,1998-08-28
COF,1998-07-01
MCO,1998-07-01
MAR,1998-05-29
BEN,1998-04-30
NTRS,1998-01-30
OMC,1997-12-31
CINF,1997-12-18
TFC,1997-12-04
FE,1997-11-28
YUM,1997-10-06
KLAC,1997-09-30
HBAN,1997-08-28
PGR,1997-08-04
APA,1997-07-28
EFX,1997-06-19
SCHW,1997-06-02
CAH,1997-05-27
ADBE,1997-05-05
AZO,1997-01-02
AON,1996-04-23
FITB,1996-03-29
CMA,1995-12-01
ALL,1995-07-13
DRI,1995-05-31
L,1995-05-31
BK,1995-03-31
AMAT,1995-03-16
GLW,1995-02-27
BSX,1995-02-24
PARA,1994-09-30
MU,1994-09-27
LUV,1994-07-01
UNH,1994-07-01
MSFT,1994-06-01
KEY,1994-03-01
EMN,1994-01-01
CSCO,1993-12-01
COST,1993-10-01
MS,1993-07-29
IPG,1992-10-01
LIN,1992-07-01
AMGN,1992-01-02
AEE,1991-09-19
ADSK,1989-12-01
K,1989-09-11
ORCL,1989-08-31
GL,1989-04-30
ECL,1989-01-31
NKE,1988-11-30
C,1988-05-31
PNC,1988-04-30
HD,1988-03-31
AVY,1987-12-31
MMC,1987-08-31
SYY,1986-12-31
MDT,1986-10-31
ITW,1986-02-28
PH,1985-11-30
DOV,1985-10-31
TJX,1985-09-30
CNP,1985-07-31
RVTY,1985-05-31
APD,1985-04-30
NUE,1985-04-30
BALL,1984-10-31
HAS,1984-09-30
HES,1984-05-31
PHM,1984-04-30
LOW,1984-02-29
T,1983-11-30
VZ,1983-11-30
BBWI,1983-09-30
CAG,1983-08-31
AAPL,1982-11-30
BF-B,1982-10-31
SNA,1982-09-30
SWK,1982-09-30
WMT,1982-08-31
MAS,1981-06-30
GWW,1981-06-30
ADP,1981-03-31
FDX,1980-12-31
PCAR,1980-12-31
AIG,1980-03-31
WBA,1979-12-31
VFC,1979-06-30
TXT,1978-12-31
INTC,1976-12-31
TGT,1976-12-31
AXP,1976-06-30
BAC,1976-06-30
CI,1976-06-30
DIS,1976-06-30
DUK,1976-06-30
TAP,1976-06-30
NEE,1976-06-30
WFC,1976-06-30
IFF,1976-03-31
JPM,1975-06-30
WMB,1975-03-31
HPQ,1974-12-31
GPC,1973-12-31
JNJ,1973-06-30
BAX,1972-09-30
BDX,1972-09-30
LLY,1970-12-31
MCD,1970-06-30
NEM,1969-06-30
CLX,1969-03-31
CMI,1965-03-31
EMR,1965-03-31
SHW,1964-06-30
MMM,1957-03-04
ABT,1957-03-04
ADM,1957-03-04
MO,1957-03-04
AEP,1957-03-04
BA,1957-03-04
BMY,1957-03-04
CPB,1957-03-04
CAT,1957-03-04
CVX,1957-03-04
CMS,1957-03-04
KO,1957-03-04
CL,1957-03-04
COP,1957-03-04
ED,1957-03-04
CSX,1957-03-04
CVS,1957-03-04
DE,1957-03-04
DTE,1957-03-04
ETN,1957-03-04
EIX,1957-03-04
ETR,1957-03-04
EXC,1957-03-04
XOM,1957-03-04
F,1957-03-04
GD,1957-03-04
GE,1957-03-04
GIS,1957-03-04
HAL,1957-03-04
HIG,1957-03-04
HSY,1957-03-04
HON,1957-03-04
HWM,1957-03-04
IBM,1957-03-04
IP,1957-03-04
KMB,1957-03-04
KR,1957-03-04
LMT,1957-03-04
MRO,1957-03-04
MRK,1957-03-04
MSI,1957-03-04
NSC,1957-03-04
NOC,1957-03-04
OXY,1957-03-04
PEP,1957-03-04
PFE,1957-03-04
PPG,1957-03-04
PG,1957-03-04
PEG,1957-03-04
RTX,1957-03-04
SPGI,1957-03-04
SLB,1957-03-04
SEE,1957-03-04
SO,1957-03-04
UNP,1957-03-04
WRK,1957-03-04
XEL,1957-03-04
D,
FCX,
HUM,
ROK,
TROW,
TXN,
USB,
WM,
WY,
WHR,
